CustID,Marital_Status,Education,Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Income,Age,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumAppPurchases,NumStorePurchases,NumWebVisitsMonth,MntTotal,MntRegularProds,AcceptedCmpOverall,Response
2470,Married,Bachelors,No,No,0,0,0,0,0,0,17323,33,38,3,14,17,6,1,5,1,1,0,3,8,41,36,0,0
2471,Single,PhD,No,No,0,0,1,1,0,0,NA,74,23,1006,22,115,59,68,45,1,7,6,12,3,1270,1225,2,1
2472,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,41850,40,51,53,5,19,2,13,4,3,3,0,3,8,92,88,0,0
2473,Together,Bachelors,No,No,0,0,0,0,0,0,37760,74,NA,84,5,38,150,12,28,2,4,1,6,7,289,261,0,0
2474,Married,Masters,No,Yes,0,0,0,1,0,0,76995,71,91,1012,80,498,0,16,176,2,11,4,9,5,1606,1430,NA,0
2475,Single,Secondary,Yes,No,0,0,0,0,0,0,33812,35,86,4,17,19,30,24,39,2,2,1,3,6,94,55,0,0
2476,Married,Bachelors,No,No,0,0,0,0,0,0,37040,38,41,86,2,73,69,38,48,1,4,2,5,8,268,220,0,0
2477,Married,Bachelors,Yes,No,0,0,0,0,0,0,NA,41,42,1,1,1725,1,1,1,15,0,28,0,1,1729,1728,0,0
2478,Married,PhD,No,Yes,0,1,0,0,0,0,58607,71,63,867,0,86,0,0,19,3,2,3,9,8,953,934,NA,0
2479,Married,PhD,No,Yes,0,0,0,0,0,0,65324,66,0,384,0,102,21,32,5,3,6,2,9,4,539,534,0,0
2480,Together,Bachelors,No,Yes,0,0,0,0,0,0,40689,69,69,270,3,27,39,6,99,7,7,1,5,8,345,246,0,0
2481,Single,Bachelors,No,No,0,0,0,0,0,0,18589,51,89,6,4,25,15,12,13,2,2,1,3,7,62,49,0,0
2482,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,53359,NA,4,173,4,30,3,6,41,4,5,1,4,7,216,175,0,0
2483,Married,Bachelors,Yes,No,0,0,0,0,0,0,38360,31,26,36,2,42,20,21,10,2,2,1,4,3,121,111,0,0
2484,Married,PhD,No,No,0,0,1,0,0,0,84618,55,96,684,100,801,21,66,0,1,6,9,10,2,1672,1672,NA,0
2485,Divorced,Masters,No,No,1,0,0,0,0,0,10979,31,34,8,4,10,2,2,4,2,3,0,3,5,26,22,0,0
2486,Together,Masters,No,No,0,0,0,0,0,0,38620,57,NA,112,17,44,34,22,89,1,2,5,3,3,229,140,0,0
2487,Together,Bachelors,No,Yes,0,1,0,0,0,0,40548,50,31,110,0,5,2,0,3,2,2,1,4,5,117,114,NA,0
2488,Divorced,PhD,No,2,0,0,0,0,0,0,46610,68,8,96,12,96,33,22,43,6,4,1,6,6,259,216,0,1
2489,Married,Masters,No,No,0,0,0,0,0,0,68657,74,4,482,34,471,119,68,22,1,3,5,9,7,1174,1152,0,0
2490,Single,Masters,Yes,Yes,0,0,0,0,0,0,49389,69,55,40,0,19,2,1,3,1,2,0,3,7,62,59,0,0
2491,Married,PhD,No,Yes,0,0,0,0,0,0,67353,50,37,702,17,151,0,8,35,5,5,6,12,2,878,843,0,0
2492,Married,Secondary,Yes,No,0,0,0,0,0,0,23718,NA,76,6,3,14,15,7,36,3,3,1,2,7,45,9,0,0
2493,Widow,Bachelors,No,Yes,0,0,0,0,0,0,42429,47,99,55,0,6,2,0,4,2,1,1,3,5,63,59,0,0
2494,Divorced,PhD,No,No,1,0,0,0,0,0,48948,77,53,437,8,206,160,49,42,2,7,10,5,6,860,818,NA,1
2495,Married,Bachelors,No,Yes,0,0,0,0,0,0,80011,40,3,421,76,536,82,178,102,2,8,6,5,4,1293,1191,0,0
2496,Married,Masters,Yes,No,0,0,0,0,0,0,20559,35,NA,13,1,29,3,0,7,2,2,0,3,8,46,39,0,0
2497,Together,Bachelors,No,Yes,0,0,0,0,0,0,NA,NA,4,9,0,6,3,1,3,1,0,0,3,5,19,16,0,0
2498,Married,Masters,Yes,No,0,0,0,0,0,0,NA,45,19,3,1,10,3,2,12,3,2,0,3,5,19,7,0,0
2499,Single,Bachelors,No,No,0,0,0,0,0,0,79941,NA,72,123,164,266,227,30,174,1,2,4,9,1,810,636,0,0
2500,Married,Secondary,No,No,0,0,0,0,0,0,NA,24,24,3,18,14,15,22,50,3,3,1,3,9,72,22,0,1
2501,Together,Bachelors,Yes,No,0,0,0,0,0,0,41728,52,NA,13,6,15,3,5,13,1,2,0,2,10,42,29,0,0
2502,Married,PhD,Yes,Yes,0,0,0,0,0,0,72550,66,39,826,50,317,50,38,38,9,5,2,12,8,1281,1243,0,0
2503,Widow,Bachelors,No,Yes,0,0,0,0,0,0,65486,NA,NA,245,19,125,37,67,14,1,4,2,10,2,493,479,0,0
2504,Married,Masters,No,No,0,0,0,0,0,0,79143,56,2,650,37,780,27,167,32,1,6,9,13,3,1661,1629,0,0
2505,Single,Bachelors,Yes,No,0,0,0,0,0,0,35790,43,54,12,6,20,30,1,3,2,2,0,3,7,69,66,0,0
2506,Divorced,Bachelors,No,No,1,0,0,1,0,0,82582,43,54,510,120,550,156,40,241,1,4,9,7,1,1376,1135,2,1
2507,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,66373,42,57,328,9,124,12,24,109,7,4,2,10,3,497,388,0,0
2508,Together,Masters,No,No,0,0,1,0,0,0,82384,65,55,984,51,432,180,120,190,1,3,10,13,1,1767,1577,NA,1
2509,Divorced,Bachelors,No,No,0,0,0,0,0,0,70287,54,NA,295,35,482,121,120,40,1,5,5,10,3,1053,1013,0,1
2510,Single,Bachelors,Yes,No,0,0,0,0,0,0,27938,32,31,13,0,8,2,1,5,1,1,0,4,3,24,19,0,0
2511,Married,PhD,No,Yes,0,0,0,0,0,0,55954,52,63,447,0,28,0,0,43,3,8,2,6,7,475,432,0,0
2512,Single,Masters,No,No,0,1,1,0,0,0,75777,38,12,712,26,538,69,13,80,1,3,6,11,1,1358,1278,2,1
2513,Together,Bachelors,Yes,Yes,0,0,0,0,0,0,66653,45,18,452,18,102,16,18,6,4,4,2,12,3,606,600,0,0
2514,Single,Bachelors,No,Yes,0,0,0,0,0,0,61823,68,26,523,7,134,37,14,169,4,8,2,10,7,715,546,0,0
2515,Widow,PhD,No,Yes,0,0,0,0,0,0,67680,69,8,546,0,48,0,6,6,1,7,3,8,5,600,594,0,0
2516,Together,Bachelors,No,No,0,0,0,0,0,0,70666,72,NA,398,40,367,119,122,30,1,7,4,4,4,1046,1016,0,0
2517,Married,Bachelors,Yes,No,0,0,0,0,0,0,25721,49,75,1,3,6,3,6,15,1,1,1,2,7,19,4,0,1
2518,Together,Bachelors,Yes,Yes,0,0,0,0,0,0,32474,53,0,10,0,1,0,0,0,1,1,0,2,7,11,11,0,0
2519,Single,Secondary,No,Yes,1,0,0,1,0,0,88194,41,19,688,14,309,201,24,38,1,11,10,10,5,1236,1198,2,1
2520,Together,Bachelors,No,Yes,0,0,0,0,0,0,69096,62,4,247,49,159,7,82,109,1,5,2,10,4,544,435,0,0
2521,Together,Bachelors,Yes,2,0,0,0,0,0,0,74854,50,90,856,59,487,58,29,73,7,2,5,5,5,1489,1416,0,0
2522,Married,Masters,No,No,0,0,0,0,0,0,66991,66,NA,496,36,460,189,60,12,3,4,8,6,3,1241,1229,0,0
2523,Married,Bachelors,No,Yes,0,0,0,0,0,0,65031,61,NA,258,107,291,84,37,86,4,10,3,13,7,777,691,0,0
2524,Married,PhD,Yes,Yes,0,1,0,0,0,0,60631,45,NA,565,6,65,0,6,19,5,9,2,8,7,642,623,NA,0
2525,Married,Bachelors,No,No,0,0,0,0,0,0,28332,68,58,14,10,13,4,15,9,1,2,1,4,2,56,47,0,0
2526,Divorced,Bachelors,Yes,No,0,0,0,0,0,0,40246,43,68,2,1,6,2,1,1,1,1,0,2,6,12,11,0,0
2527,Married,Masters,No,No,0,0,0,0,0,0,75251,48,34,721,111,925,97,18,18,1,7,6,5,5,1872,1854,0,1
2528,Single,Bachelors,No,No,1,0,0,0,0,0,75825,NA,40,1032,105,779,137,105,51,0,5,8,9,4,2158,2107,NA,1
2529,Together,Secondary,No,No,0,0,0,0,0,1,26326,NA,12,1,0,5,0,3,9,1,0,0,3,3,9,0,0,0
2530,Together,Bachelors,No,No,1,0,0,0,0,0,56046,55,NA,577,0,64,0,0,51,2,10,1,8,8,641,590,NA,1
2531,Single,Bachelors,Yes,No,0,0,0,0,0,0,29760,35,87,64,4,68,7,5,17,4,3,1,4,8,148,131,0,0
2532,Married,Bachelors,Yes,No,0,0,0,0,0,0,26304,51,5,4,1,5,2,0,4,1,1,0,2,7,12,8,0,0
2533,Married,Secondary,Yes,No,0,0,0,0,0,0,23559,47,87,25,5,19,7,0,23,3,3,0,3,7,56,33,0,0
2534,Together,Masters,No,No,0,0,0,0,0,0,38620,57,NA,112,17,44,34,22,89,1,2,5,3,3,229,140,0,0
2535,Divorced,Bachelors,No,No,0,0,0,0,0,0,81361,33,18,163,23,424,27,65,76,1,3,10,13,1,702,626,0,0
2536,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,29440,60,95,17,8,14,10,4,3,2,1,0,4,7,53,50,0,0
2537,Married,Masters,Yes,Yes,0,1,0,0,0,0,36138,50,NA,130,0,16,0,0,5,5,3,1,4,7,146,141,NA,0
2538,Single,Bachelors,No,Yes,0,1,0,1,0,0,50388,NA,3,292,6,37,0,3,34,4,6,1,6,7,338,304,2,1
2539,Married,Bachelors,No,No,0,0,1,0,0,0,79593,47,70,350,60,568,110,133,145,1,5,6,7,2,1221,1076,NA,0
2540,Together,Bachelors,No,Yes,0,0,0,0,0,0,54178,53,79,135,9,39,4,0,7,1,2,2,5,2,187,180,0,0
2541,Single,Masters,Yes,No,0,0,0,0,0,0,42394,48,69,15,2,10,0,1,4,1,1,0,3,7,28,24,0,0
2542,Married,PhD,Yes,No,0,0,0,0,0,0,23626,50,84,27,2,14,0,0,0,3,3,1,3,5,43,43,0,0
2543,Married,Bachelors,Yes,No,0,0,0,0,0,0,30096,37,NA,5,3,11,12,5,9,1,2,0,3,6,36,27,0,0
2544,Widow,Bachelors,No,Yes,0,1,0,0,0,0,47916,60,72,505,0,26,0,0,75,5,7,4,6,6,531,456,NA,0
2545,Divorced,Bachelors,Yes,Yes,0,0,0,0,0,0,51813,48,37,51,2,7,0,1,2,2,2,0,3,7,61,59,0,0
2546,Married,Secondary,No,No,0,0,0,1,0,0,78497,69,44,207,26,447,75,0,223,1,5,7,12,2,755,532,NA,0
2547,Married,PhD,No,No,0,0,0,0,0,0,50150,37,32,135,46,92,65,61,11,2,5,2,7,5,399,388,0,0
2548,Single,Secondary,No,Yes,0,0,0,0,0,0,NA,60,0,53,1,5,2,1,10,2,2,0,3,8,62,52,0,0
2549,Single,PhD,No,Yes,0,0,0,0,0,0,34554,61,43,41,1,6,2,0,5,2,2,0,3,6,50,45,0,0
2550,Together,Bachelors,No,Yes,0,0,0,0,0,0,85693,41,59,386,172,183,185,132,111,2,9,5,11,5,1058,947,0,0
2551,Married,PhD,No,No,0,0,0,0,0,0,65846,75,68,562,81,276,80,40,81,1,6,3,6,4,1039,958,0,0
2552,Married,Bachelors,No,No,0,0,0,0,0,0,NA,61,35,217,76,690,50,26,38,1,3,11,5,1,1059,1021,0,1
2553,Together,HighSchool,Yes,No,0,0,0,0,0,0,NA,41,94,1,3,6,10,0,9,1,1,0,3,5,20,11,0,0
2554,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,49096,56,15,144,1,32,2,1,7,4,4,1,4,7,180,173,0,0
2555,Married,Bachelors,No,2,0,0,0,0,0,0,52413,51,NA,295,106,271,75,98,65,4,6,4,12,6,845,780,0,0
2556,Single,Bachelors,Yes,No,0,0,0,0,0,0,38557,42,17,76,3,31,4,4,27,2,3,1,3,7,118,91,0,0
2557,Married,Masters,No,No,0,0,0,0,0,0,89058,60,18,454,194,106,31,22,43,1,5,4,4,2,807,764,0,0
2558,Together,Bachelors,No,Yes,0,0,0,0,0,0,77298,41,46,425,115,292,23,35,79,1,6,6,11,3,890,811,0,0
2559,Single,PhD,No,No,0,1,0,0,0,0,68126,29,40,1332,17,311,23,51,86,1,7,4,5,9,1734,1648,NA,1
2560,Together,Masters,No,Yes,0,1,0,0,0,0,57288,57,27,527,0,21,0,0,60,3,8,1,8,6,548,488,NA,0
2561,Single,Bachelors,No,No,0,1,1,0,0,0,86037,29,95,490,44,125,29,20,22,1,6,7,11,3,708,686,2,1
2562,Married,PhD,Yes,No,0,0,0,0,0,0,43974,40,19,378,0,101,0,0,72,5,6,4,6,7,479,407,0,0
2563,Single,Bachelors,Yes,Yes,0,0,0,0,0,0,50785,58,27,64,1,21,0,1,27,2,2,1,3,6,87,60,0,0
2564,Married,Bachelors,No,No,0,0,1,1,0,0,90765,50,NA,547,99,812,151,82,33,0,4,6,5,1,1691,1658,2,0
2565,Married,Secondary,Yes,No,0,0,0,0,0,0,36550,42,NA,47,90,94,123,103,120,5,9,1,5,9,457,337,0,0
2566,Together,Secondary,Yes,Yes,0,0,0,0,0,0,30753,53,85,12,5,25,0,9,30,2,1,1,3,5,51,21,0,0
2567,Together,Bachelors,Yes,No,0,0,0,0,0,0,NA,51,37,1,6,7,11,5,3,2,2,0,3,6,30,27,0,0
2568,Together,Masters,No,Yes,0,0,0,0,0,0,56129,67,65,320,48,133,39,72,48,4,6,2,10,4,612,564,0,0
2569,Single,Masters,Yes,No,0,0,0,0,0,0,32557,53,NA,34,3,29,0,4,10,3,2,1,3,5,70,60,0,1
2570,Married,Masters,2,No,0,0,0,0,0,0,19510,35,63,9,0,7,3,4,7,2,1,0,3,7,23,16,0,0
2571,Divorced,Bachelors,Yes,No,0,0,0,0,0,0,30992,NA,83,17,0,14,7,3,2,1,1,0,3,7,41,39,0,0
2572,Single,Bachelors,No,No,0,1,1,1,0,0,101970,37,69,722,27,102,44,72,168,0,6,8,13,2,967,799,3,1
2573,Together,Secondary,No,No,0,0,0,0,0,0,71488,55,87,162,33,124,40,28,172,2,3,4,7,1,387,215,0,0
2574,Single,Bachelors,No,No,0,0,0,0,0,0,79607,36,37,450,133,951,173,0,216,1,3,6,6,1,1707,1491,0,1
2575,Married,Masters,Yes,Yes,0,0,0,0,0,0,54348,67,51,70,0,16,0,0,4,2,2,0,4,6,86,82,0,0
2576,Together,PhD,Yes,Yes,0,0,0,0,0,0,77376,64,72,492,19,110,16,12,12,4,6,3,10,4,649,637,0,0
2577,Married,Bachelors,No,Yes,0,0,0,0,0,0,62998,68,10,120,58,73,65,89,58,5,5,4,5,5,405,347,0,0
2578,Single,Masters,Yes,Yes,0,0,0,0,0,0,61331,62,42,534,5,47,0,5,41,5,11,1,6,8,591,550,0,0
2579,Married,Bachelors,No,No,0,0,0,0,0,0,73448,51,10,236,106,189,23,41,130,1,7,2,9,4,595,465,0,0
2580,Married,PhD,Yes,Yes,0,0,0,0,0,0,41551,56,51,220,0,33,3,0,23,5,5,1,5,8,256,233,0,0
2581,Together,PhD,No,No,0,1,0,0,0,0,62981,53,21,796,14,590,38,44,0,1,4,5,13,3,1482,1482,NA,0
2582,Divorced,HighSchool,Yes,No,0,0,0,0,0,0,9548,NA,31,0,1,3,10,6,9,2,1,0,3,8,20,11,0,0
2583,Married,PhD,2,Yes,0,0,0,0,0,0,33762,61,61,53,1,34,2,0,16,3,2,2,2,8,90,74,0,0
2584,Single,PhD,Yes,Yes,1,0,0,0,0,0,NA,47,37,15,0,8,4,2,20,2,1,1,2,5,29,9,NA,1
2585,Divorced,PhD,Yes,Yes,0,0,0,0,0,0,36921,55,NA,17,1,12,3,1,4,2,2,0,3,7,34,30,0,0
2586,Single,Masters,No,No,0,0,0,0,0,0,92859,28,46,962,61,921,52,61,20,1,5,4,12,2,2057,2037,0,0
2587,Together,Masters,No,Yes,0,0,0,0,0,0,NA,NA,4,738,0,232,13,20,50,2,3,5,7,7,1003,953,0,1
2588,Married,Bachelors,No,No,0,0,0,0,0,0,86111,58,73,399,28,756,36,40,126,1,5,7,10,2,1259,1133,0,0
2589,Single,PhD,No,Yes,0,0,0,0,0,0,68352,46,NA,614,16,132,43,33,33,3,8,5,9,6,838,805,0,0
2590,Together,Bachelors,Yes,No,0,0,0,0,0,0,41883,32,NA,32,34,41,73,16,116,3,4,2,3,7,196,80,0,0
2591,Married,Bachelors,No,2,0,0,0,0,0,0,59809,NA,36,598,16,141,32,41,49,3,3,3,6,8,828,779,0,0
2592,Married,Bachelors,Yes,No,0,0,0,0,0,0,23957,45,NA,2,1,18,20,11,16,1,2,0,3,6,52,36,0,1
2593,Together,Bachelors,Yes,No,0,0,0,0,0,1,38547,39,NA,6,1,10,0,1,4,1,1,0,2,8,18,14,0,0
2594,Married,Secondary,2,Yes,0,0,0,0,0,0,NA,47,94,73,3,90,12,1,32,7,4,1,4,8,179,147,0,0
2595,Married,Masters,No,No,0,0,0,0,0,0,49605,54,65,42,16,29,12,20,8,1,2,1,4,3,119,111,0,0
2596,Married,Masters,No,2,0,0,0,0,0,0,NA,67,59,295,21,78,39,13,13,1,4,4,7,3,446,433,0,0
2597,Married,Bachelors,No,Yes,0,1,0,0,0,0,65747,51,96,346,17,48,23,13,13,4,8,1,6,6,447,434,NA,0
2598,Together,Secondary,No,Yes,0,0,0,0,0,0,46344,48,28,233,20,57,8,20,91,4,7,1,5,7,338,247,0,0
2599,Single,Bachelors,Yes,No,0,0,0,0,0,0,NA,32,12,5,7,24,19,14,20,4,3,0,4,6,69,49,0,0
2600,Together,PhD,No,Yes,0,0,0,0,0,0,61010,68,57,888,0,57,0,0,76,2,8,5,11,5,945,869,0,0
2601,Together,Bachelors,No,No,0,1,1,0,0,0,69372,71,10,997,26,269,34,13,42,1,10,4,6,4,1339,1297,2,1
2602,Single,Bachelors,No,Yes,0,0,0,0,0,0,49967,62,4,212,6,69,4,12,3,3,6,1,5,7,303,300,0,0
2603,Single,Bachelors,Yes,2,0,0,0,0,0,0,60199,42,NA,8,1,7,2,0,0,1,0,0,3,4,18,18,0,0
2604,Together,Bachelors,No,Yes,0,0,0,0,0,0,55375,43,3,42,11,57,10,28,14,1,1,1,6,2,148,134,0,0
2605,Single,Bachelors,No,No,0,0,0,0,0,0,80317,65,64,536,11,387,149,91,57,1,3,4,10,1,1174,1117,0,0
2606,Single,Masters,2,Yes,0,0,0,0,0,0,30523,62,0,5,0,3,0,0,5,1,1,0,2,7,8,3,0,0
2607,Married,PhD,No,No,0,0,0,0,0,0,70356,75,NA,1349,16,249,43,16,33,2,10,6,9,6,1673,1640,0,0
2608,Married,Bachelors,Yes,No,0,0,0,0,0,0,NA,36,91,53,3,49,7,4,5,4,3,0,4,8,116,111,0,0
2609,Divorced,PhD,No,No,0,0,0,0,0,0,74165,45,NA,1001,12,240,16,12,12,1,5,4,10,2,1281,1269,0,0
2610,Together,Bachelors,2,Yes,0,0,0,0,0,0,43482,54,83,18,1,32,6,3,28,3,2,0,4,6,60,32,0,0
2611,Divorced,Bachelors,No,No,1,0,0,0,0,0,NA,67,27,125,16,98,134,21,27,1,6,7,4,3,394,367,NA,0
2612,Divorced,Bachelors,No,No,0,1,0,0,0,0,52332,61,63,212,5,33,7,0,2,1,3,2,6,4,257,255,NA,0
2613,Single,Bachelors,No,No,0,0,0,0,0,0,NA,32,46,277,162,305,173,76,124,1,3,4,7,1,993,869,0,0
2614,Together,Bachelors,Yes,Yes,0,0,0,0,0,0,26091,NA,84,15,10,19,8,17,20,3,2,1,3,5,69,49,0,0
2615,Together,Bachelors,Yes,Yes,0,0,0,0,0,0,33456,55,58,7,3,10,8,1,7,2,1,0,3,7,29,22,0,0
2616,Married,Bachelors,Yes,No,0,0,0,0,0,0,28718,38,78,12,4,6,11,8,16,2,2,0,3,8,41,25,0,0
2617,Married,Bachelors,2,No,0,0,0,0,0,0,50447,50,4,85,7,24,2,3,27,1,3,1,3,6,121,94,0,0
2618,Together,PhD,Yes,Yes,0,0,0,0,0,0,53537,61,17,81,0,6,0,0,6,2,2,1,3,5,87,81,0,0
2619,Single,Bachelors,No,Yes,1,0,0,0,0,0,52074,53,77,59,0,12,0,0,48,1,2,2,2,4,71,23,NA,0
2620,Married,PhD,No,Yes,0,0,0,0,0,0,80427,45,NA,1149,71,449,69,71,26,1,11,8,8,5,1809,1783,0,0
2621,Married,PhD,No,No,0,1,0,1,0,0,83837,72,79,847,66,119,86,89,111,1,9,10,5,4,1207,1096,2,1
2622,Married,PhD,Yes,Yes,0,0,0,0,0,0,38853,50,90,29,0,14,0,0,2,2,2,0,3,7,43,41,0,0
2623,Together,Bachelors,2,Yes,0,0,0,0,0,0,38285,61,96,2,0,5,2,0,1,1,0,0,3,2,9,8,0,0
2624,Married,Secondary,No,No,0,0,0,1,0,0,78497,69,44,207,26,447,75,0,223,1,5,7,12,2,755,532,NA,0
2625,Married,PhD,No,Yes,0,0,0,0,0,0,51650,NA,81,152,3,22,2,5,7,1,4,1,4,5,184,177,0,0
2626,Married,Secondary,Yes,No,0,0,0,0,0,0,16248,32,77,12,11,10,3,12,9,3,2,1,3,6,48,39,0,0
2627,Married,Masters,No,No,0,0,0,0,0,0,66835,74,21,620,26,195,34,17,141,1,6,4,13,2,892,751,0,0
2628,Married,Masters,Yes,No,0,0,0,0,0,0,30477,36,16,47,1,6,0,0,12,1,1,1,3,6,54,42,0,0
2629,Married,HighSchool,No,No,0,0,0,0,0,0,NA,59,NA,1,9,7,2,14,10,1,2,0,3,6,33,23,0,0
2630,Married,Bachelors,Yes,No,0,0,0,0,0,0,25271,37,45,10,1,18,10,4,7,1,1,1,2,9,43,36,0,0
2631,Single,PhD,No,Yes,0,0,0,0,0,0,NA,50,63,35,0,2,0,0,2,2,1,0,4,5,37,35,0,0
2632,Married,Bachelors,No,Yes,0,0,0,0,0,0,61286,54,34,356,0,107,19,9,117,2,7,1,8,5,491,374,0,0
2633,Married,Bachelors,No,No,0,0,0,0,0,0,74068,NA,NA,783,30,537,140,76,15,1,4,10,9,2,1566,1551,0,0
2634,Married,PhD,Yes,Yes,0,0,0,0,0,0,NA,56,NA,42,1,18,3,0,4,2,2,0,3,7,64,60,0,0
2635,Together,HighSchool,Yes,No,1,0,0,0,0,0,24882,42,52,1,4,10,29,0,36,1,1,1,2,6,44,8,NA,0
2636,Together,PhD,No,No,0,0,0,0,0,0,66973,31,98,466,22,432,147,113,102,1,8,7,12,3,1180,1078,0,0
2637,Married,Bachelors,Yes,No,0,0,0,0,0,0,NA,32,93,23,3,21,3,19,22,2,3,0,3,8,69,47,0,0
2638,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,51148,47,38,235,6,45,8,9,12,4,5,1,6,6,303,291,0,0
2639,Married,Bachelors,Yes,Yes,0,0,0,0,0,0,31353,43,24,10,0,10,3,1,7,2,1,1,2,8,24,17,0,0
2640,Married,Masters,No,No,0,0,0,0,0,0,69661,40,NA,656,16,106,32,16,8,1,7,3,12,3,826,818,0,0
2641,Married,Bachelors,No,No,0,0,1,0,0,0,80067,66,82,519,17,813,27,173,51,1,4,6,6,2,1549,1498,NA,0
2642,Married,Bachelors,No,No,0,0,0,0,0,0,86718,66,NA,344,189,482,50,33,172,1,5,6,5,2,1098,926,0,0
2643,Single,PhD,Yes,Yes,1,0,0,0,0,0,46854,47,81,96,1,79,7,1,79,6,5,1,3,8,184,105,NA,1
2644,Divorced,Bachelors,No,Yes,0,1,0,0,0,0,69142,68,50,448,4,34,6,4,39,3,8,1,7,5,496,457,NA,0
2645,Single,Bachelors,No,No,0,0,0,0,0,0,75922,52,60,265,138,553,224,23,92,1,4,4,9,1,1203,1111,0,0
2646,Divorced,Bachelors,No,Yes,0,0,0,0,0,0,63693,42,63,587,43,337,42,87,54,3,11,6,9,6,1096,1042,0,0
2647,Together,PhD,No,No,0,1,1,1,0,0,NA,43,54,763,29,138,76,176,58,0,7,9,10,4,1182,1124,3,1
2648,Single,PhD,Yes,Yes,0,0,0,0,0,0,40637,55,72,22,0,13,0,0,3,2,1,0,3,7,35,32,0,0
2649,Single,Masters,No,No,1,0,0,0,0,0,18890,36,5,6,4,1,7,2,15,1,0,1,2,6,20,5,NA,1
2650,Together,Bachelors,Yes,No,1,0,0,0,0,0,NA,32,NA,7,6,13,7,6,14,1,1,0,3,9,39,25,NA,0
2651,Divorced,Masters,Yes,Yes,0,0,0,0,0,0,48721,57,50,81,18,113,47,13,21,6,4,2,5,6,272,251,0,0
2652,Married,Bachelors,No,Yes,0,0,0,0,0,0,44794,54,99,54,0,7,0,0,4,1,2,0,3,6,61,57,0,0
2653,Divorced,Bachelors,No,Yes,1,0,0,0,0,0,64497,66,17,1170,48,320,42,32,192,5,11,4,9,8,1612,1420,NA,1
2654,Together,Bachelors,No,Yes,0,0,0,0,0,0,46097,64,11,72,24,68,65,4,8,5,3,1,6,4,233,225,0,0
2655,Together,Bachelors,No,No,0,0,0,0,0,0,77972,66,18,613,22,319,33,102,12,1,4,6,9,1,1089,1077,0,0
2656,Married,PhD,Yes,Yes,0,0,0,0,0,0,44377,52,70,224,0,30,0,0,10,8,5,1,5,8,254,244,0,0
2657,Together,Masters,Yes,Yes,0,0,0,0,0,0,46014,46,21,410,0,59,19,9,44,10,7,1,8,7,497,453,0,0
2658,Married,Bachelors,No,No,0,0,0,0,0,0,70951,35,66,239,10,554,254,87,54,1,3,4,9,1,1144,1090,0,0
